intent,text,predict_raw,max_logits,bert_predict_correct
insurance_disease_limitation,我我刚才呀我就觉得说的一直我在半信半疑的状态，我想试一试，看看到底是真的假的。然后的话我看到下边说是曾经得过癌症的人，呃，是不给投保的。完事我我我是我是99得过癌症，但是早就痊愈了。嗯，是，然后的话我可以这个也不一定说是在不能给这个当中，对不对,ask_doubt,0.9374432563781738,0
affirm,真的,ask_doubt,0.8893840312957764,0
interrupt,啊，您说怎么了,ask_who,0.8781028389930725,0
need_repeat,啥呢,ask_who,0.8757479786872864,0
insurance_not_tell,没有，我想我想咨询一下问一下，就是这这是给父母投的嘛,interrupt,0.8739182949066162,0
client_busy,好嘞好嘞好嘞，好，你发过来有我有时间再看一下哈,send_message,0.8658575415611267,0
ask_next,嗯，然后呢，怎么了,ask_who,0.8591655492782593,0
question_flagged,好多诈骗,ask_doubt,0.843242883682251,0
no_idea,我不懂怎么操作,how_operate,0.8342408537864685,0
ask_where,哪有妈，在哪里的,ask_who,0.8199039697647095,0
ask_next,怎么了,ask_who,0.818374514579773,0
insurance_policy_surrendered,哦，我退了，我已经退了啊,insurance_cancel,0.8091548085212708,0
affirm,可以，怎么你说,ask_who,0.8053137063980103,0
insurance_zgl,张国立干嘛的,ask_who,0.8049540519714355,0
bad_response,娘个逼，骗子,ask_doubt,0.7986059784889221,0
insurance_disease_refusal,不要我,refuse,0.7980126738548279,0
insurance_settle_claim,你好，我想问一下我这个理赔,interrupt,0.7970845103263855,0
insurance_interview,有没有真人面售,ask_doubt,0.7916359305381775,0
ask_next,怎么回事啊,ask_who,0.7877290844917297,0
ask_next,啥子啊,ask_who,0.7873176336288452,0
ask_next,怎么,ask_who,0.7861230969429016,0
bad_response,是不是傻逼,ask_doubt,0.784698486328125,0
affirm,有空,client_busy,0.7842270135879517,0
insurance_upgrade_difference,为什么还操作,how_operate,0.7796016931533813,0
insurance_coverage,嗯，就是他保的是哪些嘛,ask_who,0.774930477142334,0
refuse,别发别给我发了,send_message,0.7742493748664856,0
refuse,不是我弄的，我不知道的,ask_doubt,0.7738630175590515,0
good_response,不错啊,affirm,0.7708707451820374,0
Official_phone,我找谁呢？这个事情,ask_who,0.7705941200256348,0
bad_response,滚吧，去骗你爷弄啥的,ask_doubt,0.7658712863922119,0
insurance_upgrade_difference,为什么还要这样操作,how_operate,0.7637197971343994,0
how_operate,点哪里,ask_who,0.7610149383544922,0
insurance_policy_surrendered,我说这个让我退掉了,insurance_cancel,0.7606738805770874,0
insurance_upgrade_difference,操作干嘛不是操作好了吗,how_operate,0.7574670910835266,0
insurance_zgl,张国立是干嘛的,ask_who,0.7510837316513062,0
ask_robot,你是不是机器人还是真人,ask_doubt,0.7493669986724854,0
interrupt,等知道啥，等一下,client_busy,0.7487638592720032,0
how_operate,怎么升级,insurance_upgrade_difference,0.748399555683136,0
refuse,嗯，我我不想咨询,interrupt,0.7469368577003479,0
insurance_settle_claim,你好，麻烦问一下子，我这个呃，理赔,interrupt,0.7467318773269653,0
ask_robot,你是你这是真人还是录音呢,ask_doubt,0.7462767958641052,0
ask_where,能啊在哪里哪里呀,ask_who,0.7427589893341064,0
crank,不要再说了,refuse,0.7426738142967224,0
interrupt,稍等一下啊,client_busy,0.7420310974121094,0
interrupt,等一下啊,client_busy,0.7387084364891052,0
insurance_ask_other,看不到怎么怎么操作，看保单呢,how_operate,0.736255943775177,0
nlu_fallback,嗯，那我假如,ask_doubt,0.7338747382164001,0
interrupt,等一下吗,client_busy,0.7327949404716492,0
crank,我告诉你，我操你妈的，不要给我打电话了，操你妈这东想骗子你们,ask_doubt,0.7316222190856934,0
good_response,挺好的,affirm,0.7297693490982056,0
no_interest,嗯，要要要升级是吧？我刚才看到了，我我以为跟这个没关系，所以没有点,insurance_upgrade_difference,0.7294800877571106,0
insurance_interview,你在哪里呀,ask_who,0.7269508242607117,0
