intent,text,predict_raw,max_logits,bert_predict_correct,cluster_label,distance
send_message,好的好的，你发发发短信我看看啊,send_message,0.7999529838562012,1,2023-12-14-25,4.021490212832039
send_message,好的好的，你发给我信息，我看看好吧,send_message,0.860609233379364,1,2023-12-14-25,5.038875286065357
send_message,发过来有空操作呗,send_message,0.3442997336387634,1,2023-12-14-8,5.967620160813171
send_message,你先发过来，我等一下，我有空有空的时候,send_message,0.6659240126609802,1,2023-12-14-3,6.673811707604404
send_message,嗯，好吧，我看一下,send_message,0.4623779058456421,1,2023-12-14-4,2.1764452765006035
send_message,行，我看看我再关注一下子,send_message,0.2631784975528717,1,2023-12-14-4,7.076296385441188
send_message,哦，我可以看一下,send_message,0.3304661512374878,1,2023-12-14-4,4.564176972097529
send_message,行行，你发过来吧,send_message,0.9493082761764526,1,2023-12-14-20,2.5055937140438913
send_message,行，你发吧,send_message,0.9068008661270142,1,2023-12-14-1,3.4449016368559406
send_message,好，你发过来我看看啊,send_message,0.939403772354126,1,2023-12-14-5,2.650900255490174
send_message,行，你发过来，我看看再说,send_message,0.9438323974609375,1,2023-12-14-5,3.2858894250824173
send_message,可以可以，你发一个链接给我看看,send_message,0.7117587327957153,1,2023-12-14-27,5.6328763810902265
send_message,行行，你给我发一个短信，我看看我先了解,send_message,0.639254629611969,1,2023-12-14-25,3.8358818564347064
send_message,行，好，你们再发过来看看吧，再说吧,send_message,0.9203407764434814,1,2023-12-14-18,3.3461421082096092
send_message,行啊，你发个邮件,send_message,0.4139153063297272,1,2023-12-14-27,5.593458271902558
send_message,我在外面，你可以先发过来，我等下看,send_message,0.9089518189430237,1,2023-12-14-5,5.210072811153481
send_message,我在上班呢，你发吧，好了,send_message,0.8127959966659546,1,2023-12-14-1,5.206044580367
send_message,等会儿吧，你发吧,send_message,0.8162466883659363,1,2023-12-14-1,4.434069703666307
send_message,可以发来看一看吧,send_message,0.8926939964294434,1,2023-12-14-18,6.325291446077814
send_message,你发吧，好,send_message,0.9300866723060608,1,2023-12-14-1,3.1206249530462773
send_message,你发嘛,send_message,0.7472339868545532,1,2023-12-14-22,5.605888341372141
send_message,嗯，你发吧,send_message,0.9381166100502014,1,2023-12-14-1,2.791531377346085
